Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import_val,eksport_val,styringsrente,eur_nok,boligpris_idx,toll_rate_avg
2013-01-01,94.5,108.53994490358127,3.7,650.6444700000001,5.6805,44801843934.4,72133363344,1.5,7.3821,1.105,21.42428306780273
2013-02-01,95.1,109.09090909090911,4,601.1043960000001,5.4438,41312878436.4,74795198976,1.5,7.4232,0.9553333333333334,21.42428306780273
2013-03-01,95.4,110.05509641873279,3.8,633.5061619999999,5.7581,41619212830.2,78034692496,1.5,7.4851,0.8056666666666666,21.42428306780273
2013-04-01,95.9,110.3305785123967,4,589.456697,5.7581,42331605888,66870139951.99999,1.5,7.5444,0.656,21.42428306780273
2013-05-01,96,107.85123966942149,4,578.055659,5.7581,42343403917.8,74713483191,1.5,7.5628,0.3286666666666667,21.42428306780273
2013-06-01,95.7,107.71349862258954,3.9,588.247496,5.7581,42923620799.399994,81006965622,1.5,7.7394,0.0013333333333334079,21.42428306780273
2013-07-01,96.1,110.3305785123967,3.6,652.5004500000001,6.0585,44709409594.5,82244743350,1.5,7.8837,-0.326,21.42428306780273
2013-08-01,96,111.43250688705236,4.3,674.8365910000001,5.9191,45089194101.6,77025958592,1.5,7.9386,-0.32633333333333336,21.42428306780273
2013-09-01,96.4,111.98347107438018,3.9,641.4528670000001,5.9191,47576855474,74285848430,1.5,7.9725,-0.32666666666666666,21.42428306780273
2013-10-01,96.6,111.2947658402204,3.6,652.93116,5.999,44386678987,74100187910,1.5,8.1208,-0.327,21.42428306780273
2013-11-01,96.7,111.98347107438018,4,653.511082,5.9578,43575772203.799995,82137150122,1.5,8.2055,-0.10866666666666669,21.42428306780273
2013-12-01,96.6,113.7741046831956,4.4,660.12424,5.9578,45946769721.6,78439144432,1.5,8.4048,0.10966666666666665,21.42428306780273
2014-01-01,96.6,114.18732782369148,4,633.90992,5.9578,43624113823.5,84333405303,1.5,8.3927,0.328,21.42397860041808
2014-02-01,97.1,113.36088154269972,3.2,649.817246,5.9578,47481483198,82512550590,1.5,8.3562,0.7996666666666666,21.42362842739487
2014-03-01,97.3,110.19283746556474,3.8,642.012528,5.9578,43781030056.200005,76021383930,1.5,8.2906,1.2713333333333334,21.42362842739487
2014-04-01,97.7,109.64187327823691,3.6,644.734813,5.9659,46733716570.700005,78109917907,1.5,8.2484,1.743,21.42362842739487
2014-05-01,97.8,108.67768595041325,3.4,648.3740120000001,5.9659,45300002946.2,75876985468,1.5,8.1533,1.733,21.42362842739487
2014-06-01,97.5,109.09090909090911,3.5,668.598413,5.9659,45152003268.9,69633979650,1.5,8.2207,1.723,21.42362842739487
2014-07-01,98.3,108.53994490358127,4.1,656.704185,6.1645,53250769527.5,71534892285,1.5,8.388,1.713,21.42362842739487
2014-08-01,97.9,107.71349862258954,3.6,653.7613769999999,6.3001,51235846754.5,74808017410,1.5,8.2522,1.8086666666666666,21.422049170251714
2014-09-01,98.5,107.71349862258954,4.1,590.297696,6.1928,46187029489.6,73413910016,1.5,8.1798,1.9043333333333334,21.422049170251714
