Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import,eksport,rente,eur_nok,boligindex,oljepris_USD,import_USD,eksport_USD
1926-05-01,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-06-01,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-07-01,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-08-01,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-09-01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-10-01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-11-01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-12-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-01-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-02-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-03-01,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-04-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-05-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-06-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-07-01,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-08-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-09-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-10-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-11-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927-12-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-01-01,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-02-01,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-03-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-04-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-05-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-06-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-07-01,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-08-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-09-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-10-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-11-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928-12-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-01-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-02-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-03-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-04-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-05-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-06-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-07-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-08-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-09-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-10-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-11-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929-12-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-01-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-02-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-03-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-04-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-05-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-06-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-07-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-08-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-10-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-11-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-12-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-01-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-02-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-03-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-04-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-05-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-06-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-07-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-08-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-09-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-10-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-11-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931-12-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-01-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-02-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-03-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-04-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-05-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-06-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-07-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-08-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-09-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-10-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-11-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932-12-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-01-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-02-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-03-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-04-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-05-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-06-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-07-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-08-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-09-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-10-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-11-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933-12-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-01-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-02-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-03-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-04-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-05-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-06-01,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-07-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-08-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-09-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-10-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-11-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934-12-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-01-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-02-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-03-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-04-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-05-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-06-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-07-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-08-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-09-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-10-01,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-11-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-12-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-01-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-02-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-03-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-04-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-05-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-06-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-07-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-08-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-09-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-10-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-11-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936-12-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-01-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-02-01,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-03-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-04-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-05-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-06-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-07-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-08-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-09-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-10-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-11-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937-12-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-01-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-02-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-03-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-04-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-05-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-06-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-07-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-08-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-09-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-10-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-11-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938-12-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-01-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-02-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-03-01,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-04-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-05-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-06-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-07-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-08-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-09-01,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-10-01,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-11-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939-12-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-01-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-02-01,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-03-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-04-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-05-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-06-01,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-07-01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-08-01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-09-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-10-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-11-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-12-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-01-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-02-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-03-01,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-04-01,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-05-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-06-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-07-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-08-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-09-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-10-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-11-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941-12-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-01-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-02-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-03-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-04-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-05-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-06-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-07-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-08-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-09-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-10-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-11-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942-12-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-01-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-02-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-03-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-04-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-05-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-06-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-07-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-08-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-09-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-10-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-11-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943-12-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-01-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-02-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-03-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-04-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-05-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-06-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-07-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-08-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-09-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-10-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
